country_mentioned,author_country,weight,x,y,from,name,xend,yend,to
germany,korea,0.04878048780487805,127.83916086,36.38523983,119,Germany,10.38578051,51.10698181,58
germany,sweden,0.04878048780487805,16.74558049,62.77966519,206,Germany,10.38578051,51.10698181,58
germany,switzerland,0.04878048780487805,8.20867471,46.79785878,40,Germany,10.38578051,51.10698181,58
germany,thailand,0.024390243902439025,101.0028813,15.11815794,214,Germany,10.38578051,51.10698181,58
germany,tunisia,0.024390243902439025,9.55288359,34.11956246,220,Germany,10.38578051,51.10698181,58
germany,turkey,0.024390243902439025,35.16895346,39.0616029,221,Germany,10.38578051,51.10698181,58
germany,united kingdom,0.024390243902439025,-2.86563164,54.12387156,77,Germany,10.38578051,51.10698181,58
germany,united states,0.33875338753387535,-112.4616737,45.6795472,227,Germany,10.38578051,51.10698181,58
ghana,egypt,0.024390243902439025,29.86190099,26.49593311,65,Ghana,-1.21676566,7.95345644,80
greece,france,0.024390243902439025,-2.76172945,42.17344011,73,Greece,22.95555794,39.07469623,85
greenland,russia,0.024390243902439025,96.68656112,61.98052209,184,Greenland,-41.34191127,74.71051289,87
greenland,united states,0.024390243902439025,-112.4616737,45.6795472,227,Greenland,-41.34191127,74.71051289,87
guatemala,united states,0.024390243902439025,-112.4616737,45.6795472,227,Guatemala,-90.36482009,15.69403664,88
guinea,canada,0.024390243902439025,-98.30777028,61.36206324,26,Guinea,-10.94066612,10.43621593,81
guinea,hungary,0.024390243902439025,19.39559116,47.16277506,96,Guinea,-10.94066612,10.43621593,81
guinea,papua new guinea,0.024390243902439025,145.20744752,-6.46416646,174,Guinea,-10.94066612,10.43621593,81
iceland,france,0.024390243902439025,-2.76172945,42.17344011,73,Iceland,-18.57396167,64.99575386,105
iceland,united kingdom,0.024390243902439025,-2.86563164,54.12387156,77,Iceland,-18.57396167,64.99575386,105
india,australia,0.04878048780487805,134.49100008,-25.73288704,16,India,79.6119761,22.88578212,99
india,bangladesh,0.024390243902439025,90.23812743,23.86731158,23,India,79.6119761,22.88578212,99
india,canada,0.04878048780487805,-98.30777028,61.36206324,26,India,79.6119761,22.88578212,99
india,egypt,0.024390243902439025,29.86190099,26.49593311,65,India,79.6119761,22.88578212,99
india,finland,0.024390243902439025,26.2746656,64.49884603,70,India,79.6119761,22.88578212,99
india,greece,0.024390243902439025,22.95555794,39.07469623,85,India,79.6119761,22.88578212,99
india,hungary,0.024390243902439025,19.39559116,47.16277506,96,India,79.6119761,22.88578212,99
india,iran,0.024390243902439025,54.27407004,32.57503292,103,India,79.6119761,22.88578212,99
india,nigeria,0.04878048780487805,8.08943895,9.59411452,159,India,79.6119761,22.88578212,99
india,south africa,0.024390243902439025,25.08390093,-29.00034095,239,India,79.6119761,22.88578212,99
india,united kingdom,0.12195121951219512,-2.86563164,54.12387156,77,India,79.6119761,22.88578212,99
india,united states,0.1951219512195122,-112.4616737,45.6795472,227,India,79.6119761,22.88578212,99
indonesia,japan,0.024390243902439025,138.03089558,37.59230135,111,Indonesia,117.24011366,-2.21505456,97
iraq,united states,0.024390243902439025,-112.4616737,45.6795472,227,Iraq,43.74353149,33.03970582,104
ireland,united kingdom,0.0975609756097561,-2.86563164,54.12387156,77,Ireland,-8.13793569,53.1754487,102
israel,finland,0.0027100271002710027,26.2746656,64.49884603,70,Israel,35.00444693,31.46110101,106
israel,united kingdom,0.024390243902439025,-2.86563164,54.12387156,77,Israel,35.00444693,31.46110101,106
italy,united kingdom,0.024390243902439025,-2.86563164,54.12387156,77,Italy,12.07001339,42.79662641,107
italy,united states,0.04878048780487805,-112.4616737,45.6795472,227,Italy,12.07001339,42.79662641,107
jamaica,hungary,0.024390243902439025,19.39559116,47.16277506,96,Jamaica,-77.31482593,18.15694878,108
jamaica,united states,0.024390243902439025,-112.4616737,45.6795472,227,Jamaica,-77.31482593,18.15694878,108
japan,canada,0.04607046070460705,-98.30777028,61.36206324,26,Japan,138.03089558,37.59230135,111
japan,china,0.04878048780487805,103.81907349,36.56176546,42,Japan,138.03089558,37.59230135,111
japan,hungary,0.024390243902439025,19.39559116,47.16277506,96,Japan,138.03089558,37.59230135,111
japan,india,0.024390243902439025,79.6119761,22.88578212,99,Japan,138.03089558,37.59230135,111
